Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2007	Electores 2011	Electores 2013	Electores 2015	Electores 2017	Electores 2019	Localidad / Comuna / Asentamiento
21	326B	SANTA MARIA	BARRIO PRIMERO DE MAYO	701	836	1045	1348	1730	1918	BARRIO PRIMERO DE MAYO
20	309	SAN JUSTO	SAN BARTOLOME	1319	1369	1452	1549	1728	1981	SAN BARTOLOME
21	316G	SANTA MARIA	VILLA EL PRADO	684	769	959	1365	1717	1903	VILLA EL PRADO
24	352	TOTORAL	LAS PEÑAS	1366	1446	1547	1673	1715	1754	LAS PEÑAS
14	214	RIO PRIMERO	PIQUILLIN	1569	1602	1666	1676	1699	1682	PIQUILLIN
23	338	TERCERO ARRIBA	CORRALITO	1609	1647	1614	1673	1695	1712	CORRALITO
2	23	CALAMUCHITA	VILLA YACANTO	760	937	1026	1443	1673	1822	VILLA YACANTO
19	271	SAN JAVIER	LAS TAPIAS	1086	1223	1347	1523	1648	1706	LAS TAPIAS
5	66	GENERAL ROCA	MATTALDI	1588	1579	1599	1633	1635	1589	MATTALDI
21	319	SANTA MARIA	BOUWER	1131	1431	1532	1553	1601	1587	BOUWER
26	402	UNION	VIAMONTE	1540	1566	1542	1574	1599	1625	VIAMONTE
20	295	SAN JUSTO	LA TORDILLA	1413	1430	1476	1566	1596	1581	LA TORDILLA
26	384	UNION	PUEBLO ITALIANO	1562	1553	1580	1585	1594	1579	PUEBLO ITALIANO
2	18	CALAMUCHITA	LA CRUZ	1451	1444	1449	1536	1579	1577	LA CRUZ
16	236	RIO SEGUNDO	LAS JUNTURAS	1397	1473	1495	1545	1552	1549	LAS JUNTURAS
6	73	GRAL SAN MARTIN	ARROYO ALGODON	1060	1124	1145	1492	1521	1572	ARROYO ALGODON
26	397	UNION	SAN ANTONIO	1439	1401	1422	1446	1516	1508	SAN ANTONIO
2	20	CALAMUCHITA	LOS REARTES	710	942	1031	1328	1513	1600	LOS REARTES
8	116	JUAREZ CELMAN	REDUCCION	1260	1290	1367	1425	1497	1526	REDUCCION
26	387	UNION	IDIAZABAL	1443	1417	1464	1470	1460	1488	IDIAZABAL
23	339	TERCERO ARRIBA	DALMACIO VELEZ	1166	1265	1347	1407	1455	1460	DALMACIO VELEZ
21	324	SANTA MARIA	FALDA DEL CARMEN	894	836	994	1266	1433	1433	FALDA DEL CARMEN
17	249	ROQUE SAENZ PEÑA	LA CESIRA	1158	1269	1269	1399	1433	1427	LA CESIRA
18	266	SAN ALBERTO	SAN VICENTE	1219	1270	1377	1404	1432	1392	SAN VICENTE
26	381	UNION	CINTRA	1230	1258	1272	1350	1421	1458	CINTRA
21	325	SANTA MARIA	LOZADA	1366	1344	1363	1414	1419	1419	LOZADA
4	45	CRUZ DEL EJE	EL BRETE	980	924	895	1172	1414	1383	EL BRETE
16	234	RIO SEGUNDO	COSTA SACATE	1400	1413	1426	1377	1386	1376	COSTA SACATE
6	78	GRAL SAN MARTIN	LA LAGUNA	1225	1255	1341	1355	1384	1380	LA LAGUNA
1	13O	CAPITAL	CHACHAPOYAS	382	682	904	1265	1382	1406	Córdoba
16	233	RIO SEGUNDO	COLAZO	1326	1384	1404	1373	1377	1370	COLAZO
2	20B	CALAMUCHITA	VI.CIUD.PQUE.LOS REARTES	437	606	653	1095	1368	1456	VI.CIUD.PQUE.LOS REARTES
21	328	SANTA MARIA	POTRERO DE GARAY	646	899	972	1241	1363	1460	POTRERO DE GARAY
26	385	UNION	ESCALANTE	1315	1338	1361	1367	1348	1341	ESCALANTE
4	57	CRUZ DEL EJE	TUCLAME	656	667	592	1219	1322	1393	TUCLAME
12	158B	PUNILLA	ESTANCIA VIEJA	372	530	658	1038	1300	1505	ESTANCIA VIEJA
19	273	SAN JAVIER	LUYABA	1024	982	1062	1208	1298	1308	LUYABA
12	147A	PUNILLA	SAN ROQUE	707	843	856	1103	1293	1418	SAN ROQUE
19	272	SAN JAVIER	LOS HORNILLOS	892	903	978	1169	1283	1312	LOS HORNILLOS
23	346	TERCERO ARRIBA	PAMPAYASTA SUD	1203	1243	1269	1271	1274	1248	PAMPAYASTA SUD
1	14Q	CAPITAL	VILLA WARCALDE	724	883	1028	1168	1266	1289	Córdoba
1	13E	CAPITAL	LA DOROTEA	1008	1164	1251	1215	1263	1266	Córdoba
6	83	GRAL SAN MARTIN	PASCO	1020	1107	1134	1195	1248	1260	PASCO
12	156C	PUNILLA	MAYU SUMAJ	640	753	895	1115	1244	1316	MAYU SUMAJ
19	276	SAN JAVIER	YACANTO	384	459	787	1177	1236	1218	YACANTO
13	163	RIO CUARTO	ALPA CORRAL	1064	1086	1069	1215	1233	1231	ALPA CORRAL
20	297	SAN JUSTO	LAS VARAS	1149	1180	1177	1177	1222	1194	LAS VARAS
21	316E	SANTA MARIA	LOS CEDROS	594	826	909	1136	1219	1241	LOS CEDROS
20	289	SAN JUSTO	EL FORTIN	1026	1092	1138	1212	1206	1175	EL FORTIN
3	31	COLON	EL MANZANO	937	931	964	1129	1191	1243	EL MANZANO
7	100	ISCHILIN	QUILINO VILLA	882	888	875	983	1189	1173	QUILINO VILLA
24	351	TOTORAL	CAÑADA DE LUQUE	1098	1113	1142	1185	1188	1200	CAÑADA DE LUQUE
20	300	SAN JUSTO	MARINA	1148	1207	1233	1208	1183	1144	MARINA
8	111	JUAREZ CELMAN	HUANCHILLA	1138	1251	1211	1212	1176	1158	HUANCHILLA
17	253	ROQUE SAENZ PEÑA	MELO	1058	1106	1102	1147	1150	1150	MELO
24	355	TOTORAL	SARMIENTO	809	905	951	1088	1145	1190	SARMIENTO
26	372	UNION	ALTO ALEGRE	911	922	987	1122	1144	1144	ALTO ALEGRE
2	22	CALAMUCHITA	RIO DE LOS SAUCES	1090	1061	1062	1109	1142	1155	RIO DE LOS SAUCES
21	316H	SANTA MARIA	VILLA LA BOLSA	615	738	823	974	1103	1157	VILLA LA BOLSA
8	108	JUAREZ CELMAN	CHARRAS	870	920	957	1041	1086	1064	CHARRAS
14	198	RIO PRIMERO	CAPILLA DE REMEDIOS	1078	1069	1068	1065	1075	1043	CAPILLA DE REMEDIOS
5	62	GENERAL ROCA	ITALO	971	1006	1076	1091	1068	1055	ITALO
9	124	MARCOS JUAREZ	CAVANAGH	1099	1078	1069	1056	1065	1059	CAVANAGH
