Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2013
21	326	SANTA MARIA	MALAGUEÑO	6.460
10	139	MINAS	GUASAPAMPA	205
7	100	ISCHILIN	QUILINO VILLA	875
18	264	SAN ALBERTO	PANAHOLMA	320
1	10A	CAPITAL	CABILDO	4.436
12	148	PUNILLA	CAPILLA DEL MONTE	9.466
25	361	TULUMBA	LAS ARRIAS	1.805
7	91B	ISCHILIN	LOS POZOS	105
20	315	SAN JUSTO	VIGNAUD	624
16	237	RIO SEGUNDO	LUQUE	5.185
18	265A	SAN ALBERTO	VILLA SARMIENTO	4.234
4	56	CRUZ DEL EJE	SOTO	6.716
16	240	RIO SEGUNDO	PILAR	11.371
24	359	TOTORAL	VILLA DEL TOTORAL	7.230
1	12E	CAPITAL	FERREYRA	4.425
1	14G	CAPITAL	LOS BOULEVARES	8.483
1	13I	CAPITAL	SAN JORGE	5.706
12	152	PUNILLA	HUERTA GRANDE	5.221
20	309	SAN JUSTO	SAN BARTOLOME	1.452
25	364	TULUMBA	LA DORMIDA	4.155
13	165	RIO CUARTO	BANDA NORTE	28.072
10	142	MINAS	SAN CARLOS	1.822
5	58	GENERAL ROCA	BRUZONE	235
15	227D	RIO SECO	SANTA ELENA	311
14	218	RIO PRIMERO	RIO PRIMERO	6.242
13	178	RIO CUARTO	LAS CAÑITAS	43
1	10I	CAPITAL	PARQUE HORIZONTE	9.162
1	12G	CAPITAL	ITUZAINGO	9.995
21	326A	SANTA MARIA	YOCSINA	2.251
14	203	RIO PRIMERO	PEDRO E.VIVAS	361
21	316	SANTA MARIA	ALTA GRACIA	39.656
12	150	PUNILLA	COSQUIN	17.799
14	204	RIO PRIMERO	LA PARA	3.470
8	109	JUAREZ CELMAN	DEHEZA	9.066
13	160A	RIO CUARTO	LA CAROLINA	232
13	184A	RIO CUARTO	MONTE DE LOS GAUCHOS	621
3	31	COLON	EL MANZANO	964
20	279	SAN JUSTO	ARROYITO	18.878
3	33	COLON	JESUS MARIA	27.143
19	273	SAN JAVIER	LUYABA	1.062
1	7A	CAPITAL	GUIÑAZU	6.541
13	169	RIO CUARTO	CHUCUL	345
6	79	GRAL SAN MARTIN	LA PLAYOSA	2.703
20	304	SAN JUSTO	MORTEROS	14.947
8	113	JUAREZ CELMAN	LOS CISNES	609
4	51	CRUZ DEL EJE	PASO VIEJO	824
26	372	UNION	ALTO ALEGRE	987
1	14K	CAPITAL	VILLA ALLENDE PARQUE	3.618
24	352	TOTORAL	LAS PEÑAS	1.547
10	138C	MINAS	ESTANCIA DE GUADALUPE	324
12	156	PUNILLA	VILLA CARLOS PAZ	53.129
6	87	GRAL SAN MARTIN	TICINO	1.914
1	10E	CAPITAL	ESTACION FLORES	11.531
6	89	GRAL SAN MARTIN	VILLA MARIA	67.781
14	205	RIO PRIMERO	LA PUERTA	1.879
1	13E	CAPITAL	LA DOROTEA	1.251
8	114	JUAREZ CELMAN	OLAETA	587
4	43A	CRUZ DEL EJE	LAS CAÑADAS	132
8	106	JUAREZ CELMAN	CABRERA	9.752
8	108	JUAREZ CELMAN	CHARRAS	957
16	245	RIO SEGUNDO	VILLA DEL ROSARIO	12.340
23	339	TERCERO ARRIBA	DALMACIO VELEZ	1.347
7	96A	ISCHILIN	OLIVARES SAN NICOLAS	574
6	88	GRAL SAN MARTIN	TIO PUJIO	2.886
14	220	RIO PRIMERO	VILLA SANTA ROSA	6.836
3	33A	COLON	COLONIA VICENTE AGÜERO	292
2	25A	CALAMUCHITA	CALMAYO	104
8	116A	JUAREZ CELMAN	PASO DEL DURAZNO	91
6	75	GRAL SAN MARTIN	AUSONIA	890
3	32	COLON	GENERAL PAZ	1.795
13	191A	RIO CUARTO	MALENA	265
4	42	CRUZ DEL EJE	BAÑADO DE SOTO	560
13	183	RIO CUARTO	VICUÑA MACKENNA	8.795
13	164	RIO CUARTO	BAIGORRIA	1.642
17	249	ROQUE SAENZ PEÑA	LA CESIRA	1.269
4	44	CRUZ DEL EJE	CRUZ DEL EJE	24.341
20	305	SAN JUSTO	PORTEÑA	4.683
1	10L	CAPITAL	VILLA EL LIBERTADOR	25.144
2	17	CALAMUCHITA	EMBALSE	6.604
19	268	SAN JAVIER	DOLORES	25.603
20	290	SAN JUSTO	EL TIO	1.698
13	186	RIO CUARTO	PUEBLO ALBERDI	24.454
26	373	UNION	BALLESTEROS	3.406
1	14P	CAPITAL	VILLA RIVERA INDARTE	3.699
16	237A	RIO SEGUNDO	MANFREDI	830
6	83	GRAL SAN MARTIN	PASCO	1.134
16	243	RIO SEGUNDO	RIO SEGUNDO	16.871
1	12	CAPITAL	AVELLANEDA	8.343
8	102	JUAREZ CELMAN	ALEJANDRO	4.744
19	275	SAN JAVIER	SAN JOSE	1.963
25	371	TULUMBA	TULUMBA	1.758
5	72	GENERAL ROCA	VILLA VALERIA	2.463
21	323	SANTA MARIA	DESPEÑADEROS	5.335
20	278	SAN JUSTO	ALTOS DE CHIPION	1.769
5	63	GENERAL ROCA	JOVITA	4.119
2	25B	CALAMUCHITA	LOS MOLINOS	288
13	177	RIO CUARTO	LAS ACEQUIAS	2.278
26	375	UNION	BELL VILLE	29.090
20	282	SAN JUSTO	BRINKMANN	8.151
1	7E	CAPITAL	MARQUES DE SOBREMONTE	15.599
20	298	SAN JUSTO	LAS VARILLAS	14.008
26	396	UNION	POSSE	7.094
23	336	TERCERO ARRIBA	ALMAFUERTE	9.832
1	11K	CAPITAL	VILLA GRAL URQUIZA	10.701
1	10H	CAPITAL	PARQUE CAPITAL	11.714
7	95	ISCHILIN	DEAN FUNES	17.922
20	291	SAN JUSTO	FREYRE	5.953
13	160	RIO CUARTO	ACHIRAS	2.463
11	144	POCHO	CHANCANI	990
12	155A	PUNILLA	LOS COCOS	929
1	14N	CAPITAL	VILLA CORNU	6.469
15	227	RIO SECO	RAYO CORTADO	632
1	6C	CAPITAL	GRAL PAZ	11.160
12	159	PUNILLA	VALLE HERMOSO	5.149
26	392	UNION	MORRISON	3.108
14	213	RIO PRIMERO	OBISPO TREJO	2.225
16	242	RIO SEGUNDO	RINCON	425
1	10J	CAPITAL	SANTA ISABEL	12.297
